ID_PDB_PU	Pos_PU_ori	Pos_PU_struc_PDB	Pos_PU_seq_PDB	Pos_PU_UNP	ID_UNP
1KZ7A_6_270_317	270_317	891_938	270_317	891_938	Q64096
1L0QA_10_31_53	31_53	31_53	31_53	73_95	Q50245
1L5OA_10_243_283	243_283	243_283	243_283	243_283	Q05603
1L6RA_3_42_81	42_81	39_78	42_81	39_78	Q9HLQ2
1L6WA_7_27_42	27_42	27_42	27_42	27_42	P78055
1L7AA_10_223_247	223_247	223_247	223_247	223_247	P94388
1LC0A_10_181_222	181_222	182_223	181_222	182_223	P46844
1LEHA_10_314_338	314_338	314_338	314_338	314_338	Q7SIB4
1LEHA_5_227_280	227_280	227_280	227_280	227_280	Q7SIB4
1LFKA_2_82_135	82_135	83_135	82_135	82_135	Q8RN04
1LFPA_3_18_77	18_77	18_77	18_77	18_77	O67517
1LFWA_2_428_468	428_468	428_468	428_468	428_468	P45494
1LNSA_10_27_46	27_46	27_46	27_46	27_46	P22346
1LP1A_2_17_38	17_38	17_38	17_38	?_?	
1LQAA_10_307_326	307_326	307_326	307_326	307_326	P0A9T4
1LRZA_10_298_352	298_352	298_352	298_352	298_352	P0A0A5
1LSHA_15_603_656	603_656	619_672	603_656	619_672	Q91062
1LTQA_10_193_247	193_247	193_247	193_247	193_247	P06855
1M0KA_6_113_137	113_137	100_124	113_137	113_137	P02945
1M1ZA_10_177_198	177_198	177_198	177_198	177_198	P0DJQ7
1M1ZA_10_199_218	199_218	199_218	199_218	199_218	P0DJQ7
1M1ZA_11_90_111	90_111	90_111	90_111	90_111	P0DJQ7
1M22A_10_1_21	1_21	42_58	1_21	38_58	Q8RJN5
1M22A_10_263_313	263_313	300_350	263_313	300_350	Q8RJN5
1M22A_13_162_180	162_180	199_217	162_180	199_217	Q8RJN5
1M55A_3_49_99	49_99	49_99	49_99	49_99	Q9YJC1
1M65A_4_1_38	1_38	2_38	1_38	1_38	P75914
1M6IA_11_204_238	204_238	324_358	204_238	324_358	O95831
1M6SA_10_104_119	104_119	100_115	104_119	100_115	Q9X266
1M6SA_10_150_168	150_168	146_164	150_168	146_164	Q9X266
1M6YA_10_145_168	145_168	143_166	145_168	143_166	Q9WZX6
1M7SA_15_447_469	447_469	473_495	447_469	473_495	P46206
1M93B_2_82_113	82_113	137_168	82_113	137_168	P07385
1M93B_4_34_68	34_68	89_123	34_68	89_123	P07385
1MB3A_2_52_96	52_96	53_97	52_96	58_102	Q9A5I4
1MBAA_4_20_48	20_48	19_47	20_48	20_48	P02210
1MBYA_1_1_34	1_34	845_871	1_34	838_871	Q64702
1MDAH_10_67_124	67_124	67_124	67_124	?_?	
1MEGA_2_108_134	108_134	108_134	108_134	240_266	P10056
1MFTA_1_17_51	17_51	17_51	17_51	-_-	
1MG7A_11_250_285	250_285	256_291	250_285	250_285	Q23229
1MGTA_6_1_40	1_40	1_40	1_40	1_40	O74023
1MI8A_2_57_72	57_72	55_70	57_72	435_450	Q55418
1MIJA_5_1_21	1_21	1245_1265	1_21	1545_1565	P29617
1MIOB_10_168_202	168_202	168_202	168_202	168_202	P11347
1MIOB_10_436_457	436_457	436_457	436_457	436_457	P11347
1MIOB_10_51_66	51_66	51_66	51_66	51_66	P11347
1MIOB_11_373_389	373_389	373_389	373_389	373_389	P11347
1MIOB_14_113_139	113_139	113_139	113_139	113_139	P11347
1MIWA_15_136_161	136_161	136_161	136_161	136_161	Q7SIB1
1MIXA_6_161_189	161_189	355_383	161_189	355_383	P54939
1MIXA_7_116_137	116_137	310_331	116_137	310_331	P54939
1MJFA_4_74_103	74_103	73_102	74_103	74_103	Q8U4G1
1MJFA_6_206_233	206_233	205_232	206_233	206_233	Q8U4G1
1MJHA_3_103_143	103_143	103_143	103_143	103_143	Q57997
1MJNA_2_127_163	127_163	254_290	127_163	279_315	P20701
1ML9A_5_111_142	111_142	127_158	111_142	140_171	Q8X225
1MNMA_1_1_28	1_28	15_28	1_28	1_28	P11746
1MO9A_10_1_40	1_40	2_40	1_40	1_40	Q56839
1MO9A_10_269_312	269_312	269_312	269_312	269_312	Q56839
1MOQA_10_51_93	51_93	291_333	51_93	292_334	P17169
1MOQA_11_51_78	51_78	291_318	51_78	292_319	P17169
1MPXA_20_17_47	17_47	39_69	17_47	39_69	Q6YBS3
1MQOA_3_40_99	40_99	68_129	40_99	70_129	P04190
1MRZA_8_180_219	180_219	180_219	180_219	180_219	Q9WZW1
1MUSA_10_318_362	318_362	318_362	318_362	318_362	Q46731
1MV8A_14_173_196	173_196	173_196	173_196	173_196	P11759
1MV8A_16_102_120	102_120	102_120	102_120	102_120	P11759
1MV8A_16_121_157	121_157	121_157	121_157	121_157	P11759
1MVLA_3_79_97	79_97	79_97	79_97	79_97	Q9SWE5
1MW7A_2_1_57	1_57	21_57	1_57	1_57	O24970
1MW7A_4_185_201	185_201	185_201	185_201	185_201	O24970
1MW7A_8_142_184	142_184	142_184	142_184	142_184	O24970
1MW9X_12_256_303	256_303	256_303	256_303	256_303	P06612
1N0WA_4_91_132	91_132	187_228	91_132	187_228	Q06609
1N13B_3_37_74	37_74	89_126	37_74	89_126	Q57764
1N2SA_6_63_104	63_104	63_104	63_104	63_104	P26392
1N40A_10_306_323	306_323	306_323	306_323	306_323	P9WPP7
1N81A_5_50_67	50_67	70_87	50_67	70_87	Q8IEU2
1NEPA_1_84_130	84_130	84_130	84_130	103_149	P79345
1NF2A_4_189_245	189_245	189_245	189_245	189_245	Q9WZB9
1NG6A_5_130_148	130_148	130_148	130_148	130_148	P54464
1NI5A_10_250_270	250_270	250_268	250_270	249_269	P52097
1NKGA_14_268_321	268_321	268_321	268_321	287_340	Q00019
1NLXA_1_59_104	59_104	459_504	59_104	80_125	P43215
1NOGA_4_41_56	41_56	41_56	41_56	41_56	Q9HIA7
1NOGA_5_17_40	17_40	23_40	17_40	17_40	Q9HIA7
1NTVA_3_87_129	87_129	109_151	87_129	109_151	P97318
1NVMA_10_293_320	293_320	293_320	293_320	293_320	P51016
1NXCA_10_371_394	371_394	548_571	371_394	548_571	P45700
1NXHA_2_1_44	1_44	3_43	1_44	1_44	O26496
1NXHA_3_1_25	1_25	3_25	1_25	1_25	O26496
1NYCA_4_76_96	76_96	74_94	76_96	74_94	Q7A189
1O4TA_3_84_115	84_115	72_103	84_115	72_103	Q9X113
1O57A_2_73_103	73_103	73_103	73_103	73_103	P37551
1O57A_6_129_159	129_159	129_159	129_159	129_159	P37551
1O5LA_3_38_57	38_57	26_45	38_57	26_45	Q9X0Q3
1O5ZA_10_116_140	116_140	104_128	116_140	104_128	Q9WY13
1O5ZA_10_90_115	90_115	78_103	90_115	78_103	Q9WY13
1O5ZA_14_352_375	352_375	340_363	352_375	340_363	Q9WY13
1O63A_6_100_129	100_129	99_128	100_129	99_128	Q9X0D2
1O6DA_2_94_123	94_123	92_121	94_123	92_121	Q9WZU8
1O6VA_10_45_77	45_77	75_107	45_77	75_107	P0DJM0
1O6VA_11_341_374	341_374	371_404	341_374	371_404	P0DJM0
1O70A_10_1_27	1_27	328_336	1_27	310_336	P10674
1O7DC_6_1_23	1_23	431_453	1_23	433_455	Q29451
1O7JA_10_303_325	303_325	303_325	303_325	324_346	P06608
1O82A_1_1_23	1_23	1_23	1_23	36_58	Q47765
1O97D_10_34_70	34_70	34_70	34_70	35_71	P53571
1O98A_10_28_44	28_44	28_44	28_44	28_44	Q9X519
1O98A_10_94_114	94_114	94_114	94_114	94_114	Q9X519
1OA8A_2_51_85	51_85	612_646	51_85	611_645	P54253
1OAAA_5_1_40	1_40	3_42	1_40	3_42	Q64105
1ODZA_11_237_292	237_292	274_329	237_292	274_329	P49424
1OFCX_6_88_128	88_128	775_815	88_128	775_815	Q24368
1OGDA_2_63_104	63_104	63_104	63_104	63_104	P36946
1OHUA_3_86_101	86_101	153_168	86_101	153_168	P41958
1OHVA_10_211_230	211_230	211_230	211_230	239_258	P80147
1OKGA_10_279_294	279_294	279_294	279_294	279_294	Q7K9G0
1OKSA_1_1_30	1_30	2_30	1_30	458_487	P03422
1OLMA_10_39_57	39_57	39_57	39_57	39_57	O76054
1ONWA_10_181_203	181_203	181_203	181_203	181_203	P39377
1OR0B_10_270_303	270_303	270_303	270_303	468_501	P07662
1ORRA_2_1_56	1_56	2_56	1_56	1_55	P14169
1OUWA_1_22_79	22_79	23_80	22_79	23_80	P93114
1P2HA_19_273_295	273_295	273_295	273_295	273_295	P0C278
1P3DA_10_442_463	442_463	442_463	442_463	442_463	P45066
1P5DX_10_269_296	269_296	269_296	269_296	269_296	P26276
1P6OA_2_86_139	86_139	83_136	86_139	83_136	Q12178
1P9AG_12_80_95	80_95	80_95	80_95	96_111	P07359
1PEXA_6_56_71	56_71	314_329	56_71	320_335	P45452
1PEXA_8_104_120	104_120	362_379	104_120	368_384	P45452
1PFOA_10_382_397	382_397	382_397	382_397	382_397	P0C2E9
1PJ5A_11_48_84	48_84	48_84	48_84	48_84	Q9AGP8
1PJ5A_7_166_219	166_219	166_219	166_219	166_219	Q9AGP8
1PL8A_12_317_341	317_341	317_341	317_341	318_342	Q00796
1PPJB_10_330_349	330_349	330_349	330_349	344_363	P23004
1PQ4A_10_233_255	233_255	279_301	233_255	279_301	P73085
1PQWA_1_149_183	149_183	149_183	149_183	1706_1740	P96202
1PU6A_6_62_101	62_101	62_101	62_101	62_101	O25323
1PUIA_5_110_149	110_149	110_149	110_149	110_149	P0A6P7
1PUIA_5_88_109	88_109	90_109	88_109	88_109	P0A6P7
1PVGA_10_356_378	356_378	351_373	356_378	351_373	P06786
1PWHA_10_160_195	160_195	160_195	160_195	196_231	P09367
1PWHA_10_246_279	246_279	246_279	246_279	282_315	P09367
1PX5A_10_74_102	74_102	74_102	74_102	74_102	Q29599
1PX5A_12_247_278	247_278	247_278	247_278	247_278	Q29599
1PYAA_2_40_65	40_65	40_65	40_65	41_66	P00862
1PYAB_6_92_123	92_123	173_204	92_123	174_205	P00862
1PZ7A_4_98_124	98_124	98_124	98_124	1975_2001	P31696
1PZSA_3_1_35	1_35	-_-	1_35	33_67	P9WGE9
1Q0RA_10_1_17	1_17	2_17	1_17	1_17	Q54528
1Q0UA_1_1_24	1_24	4_24	1_24	1_24	P83699
1Q15A_10_180_204	180_204	180_204	180_204	180_204	Q9XB61
1Q15A_10_344_373	344_373	344_373	344_373	344_373	Q9XB61
1Q15A_10_463_491	463_491	463_491	463_491	463_491	Q9XB61
1Q15A_12_79_100	79_100	79_100	79_100	79_100	Q9XB61
1Q15A_17_278_296	278_296	278_296	278_296	278_296	Q9XB61
1Q1AA_10_104_130	104_130	108_134	104_130	108_134	P53686
1Q1AA_10_261_285	261_285	265_289	261_285	265_289	P53686
1Q1RA_10_1_42	1_42	2_42	1_42	1_42	P16640
1Q1RA_10_300_323	300_323	300_323	300_323	300_323	P16640
1Q25A_10_356_394	356_394	356_394	356_394	400_438	P08169
1Q47A_10_71_89	71_89	96_114	71_89	96_114	O08665
1Q47A_17_454_469	454_469	479_494	454_469	479_494	O08665
1Q5DA_10_155_194	155_194	155_194	155_194	155_194	Q9KIZ4
1Q6ZA_10_366_401	366_401	366_401	366_401	366_401	P20906
1Q6ZA_10_480_524	480_524	480_524	480_524	480_524	P20906
1Q6ZA_7_17_68	17_68	17_68	17_68	17_68	P20906
1Q7EA_10_159_201	159_201	159_201	159_201	157_199	P69902
1Q7EA_10_315_332	315_332	315_332	315_332	313_330	P69902
1QAUA_1_88_112	88_112	101_125	88_112	101_125	P29476
1QEXA_10_219_234	219_234	219_234	219_234	219_234	P10927
1QMEA_11_105_127	105_127	-_-	105_127	153_175	P14677
1QMEA_14_502_523	502_523	550_571	502_523	550_571	P14677
1QNRA_1_1_55	1_55	1_55	1_55	28_82	Q99036
1QO0D_3_1_43	1_43	2_43	1_43	1_43	P10932
1QSAA_10_198_246	198_246	198_246	198_246	225_273	P0AGC3
1QSMA_5_49_64	49_64	53_68	49_64	53_68	Q06592
1QUSA_10_121_148	121_148	160_187	121_148	160_187	P41052
1QUSA_10_19_46	19_46	58_85	19_46	58_85	P41052
1QUSA_10_62_87	62_87	109_126	62_87	101_126	P41052
1QYNA_3_31_80	31_80	31_80	31_80	31_80	P0AG86
1QYSA_1_1_21	1_21	3_21	1_21	_-	
1QZ9A_11_218_241	218_241	218_241	218_241	218_241	P83788
1R3SA_10_43_58	43_58	43_58	43_58	43_58	P06132
1R5LA_1_1_47	1_47	25_63	1_47	17_63	P49638
1R5MA_10_316_351	316_351	428_463	316_351	428_463	P38262
1R5MA_13_278_297	278_297	390_409	278_297	390_409	P38262
1R8EA_4_49_72	49_72	49_72	49_72	49_72	P39075
1R8GA_10_254_273	254_273	254_273	254_273	254_273	P77213
1RA6A_10_67_95	67_95	67_95	67_95	1815_1843	P03300
1RA6A_13_422_446	422_446	422_446	422_446	2170_2194	P03300
1RCQA_10_159_188	159_188	159_188	159_188	159_188	Q9HTQ2
1RG8A_1_88_141	88_141	82_135	88_141	97_150	P05230
1RLZA_11_241_283	241_283	241_283	241_283	241_283	P49366
1RR7A_3_60_94	60_94	60_94	60_94	60_94	P23848
1RRMA_7_184_219	184_219	184_219	184_219	183_218	P0A9S1
1RT8A_10_304_337	304_337	405_438	304_337	405_438	O59945
1RTQA_7_139_176	139_176	139_176	139_176	245_282	Q01693
1RTRA_10_119_140	119_140	119_140	119_140	119_140	A0A0H3
1RTRA_10_72_89	72_89	72_89	72_89	72_89	A0A0H3
1RTWA_2_131_163	131_163	131_163	131_163	131_163	Q8U189
1RTWA_2_164_205	164_205	164_205	164_205	164_205	Q8U189
1RTWA_4_50_77	50_77	50_77	50_77	50_77	Q8U189
1RU4A_15_184_212	184_212	209_237	184_212	209_237	P0C1A7
1RUTX_2_31_63	31_63	46_78	31_63	?_?	P70662
1RV9A_2_192_212	192_212	192_212	192_212	192_212	Q9K0A8
1RV9A_4_101_154	101_154	101_154	101_154	101_154	Q9K0A8
1RWIA_10_131_156	131_156	131_156	131_156	533_558	P9WI79
1RWZA_2_201_244	201_244	201_244	201_244	201_244	O29912
1RWZA_3_85_110	85_110	85_110	85_110	85_110	O29912
1RX0A_10_362_384	362_384	362_384	362_384	384_406	Q9UKU7
1RX0A_10_70_94	70_94	70_94	70_94	92_116	Q9UKU7
1RX0A_10_95_123	95_123	95_123	95_123	117_145	Q9UKU7
1RXDA_4_17_32	17_32	17_32	17_32	18_33	Q93096
1RXQA_4_58_88	58_88	58_88	58_88	58_88	O31562
1RYBA_1_153_186	153_186	139_172	153_186	197_230	Q9M5P4
1RYBA_6_28_43	28_43	14_29	28_43	72_87	Q9M5P4
1RYIA_10_144_168	144_168	131_155	144_168	131_155	O31616
1RYIA_10_169_198	169_198	156_185	169_198	156_185	O31616
1RYIA_10_49_74	49_74	36_61	49_74	36_61	O31616
1RYLA_1_131_157	131_157	131_157	131_157	131_157	P76483
1RYLA_6_1_19	1_19	3_19	1_19	1_19	P76483
1RZ3A_4_100_122	100_122	100_122	100_122	100_122	P84134
1S0AA_10_391_428	391_428	391_428	391_428	391_428	P12995
1S29A_1_1_19	1_19	1_19	1_19	1_16	Q9NIH4
1S2WA_4_171_212	171_212	171_212	171_212	171_212	P56839
1S3ZA_2_1_59	1_59	-1_39	1_59	1_39	Q9R381
1S4NA_6_49_86	49_86	143_180	49_86	143_180	P27809
1S6CA_2_1_28	1_28	39_61	1_28	45_72	Q8R426
1S6CA_4_29_73	29_73	62_106	29_73	73_117	Q8R426
1S6YA_10_171_190	171_190	168_187	171_190	171_190	P84135
1S9RA_10_94_119	94_119	94_119	94_119	94_119	P23793
1S9UA_4_157_189	157_189	154_186	157_189	154_186	Q8ZPK0
1S9UA_5_125_156	125_156	123_153	125_156	122_153	Q8ZPK0
1SA3A_10_202_227	202_227	202_227	202_227	202_227	P11405
1SA3A_12_98_116	98_116	98_116	98_116	98_116	P11405
1SBPA_10_140_164	140_164	140_164	140_164	159_183	P02906
1SC6A_13_343_365	343_365	349_371	343_365	349_371	P0A9T0
1SFEA_3_1_49	1_49	12_48	1_49	175_223	P06134
1SG4A_5_84_132	84_132	84_132	84_132	126_174	P42126
1SGJA_1_188_231	188_231	188_231	188_231	188_231	Q9RUZ0
1SH8A_4_25_40	25_40	23_38	25_40	23_38	Q9HUE3
1SQ4A_10_110_125	110_125	110_125	110_125	110_125	Q9I4J5
1SQGA_4_1_49	1_49	5_49	1_49	1_49	P36929
1SR4A_3_102_121	102_121	119_138	102_121	119_138	O06522
1SRAA_1_22_53	22_53	157_188	22_53	174_205	P09486
1SRAA_2_54_74	54_74	189_209	54_74	206_226	P09486
1SRQA_4_257_300	257_300	331_374	257_300	331_374	P47736
1SUMB_2_189_225	189_225	189_225	189_225	189_225	Q9X256
1SUUA_5_97_142	97_142	595_640	97_142	595_640	O51396
1SZ7A_4_117_159	117_159	108_150	117_159	108_150	O43617
1T0FA_6_127_164	127_164	124_161	127_164	124_161	P13988
1T0IA_4_66_84	66_84	66_84	66_84	66_84	Q07923
1T0TV_6_176_230	176_230	176_230	176_230	176_230	Q5KUD5
1T3QC_10_223_247	223_247	223_247	223_247	223_247	P72222
1T56A_4_101_120	101_120	101_120	101_120	101_120	P9WMC1
1T6CA_11_18_36	18_36	15_33	18_36	15_33	O67040
1T71A_5_159_176	159_176	159_176	159_176	159_176	P75429
1T82A_1_1_22	1_22	2_12	1_22	1_12	Q8E989
1T82A_4_117_142	117_142	107_132	117_142	107_132	Q8E989
1T8SA_10_406_435	406_435	406_435	406_435	406_435	P0AE12
1TH0A_2_1_19	1_19	364_382	1_19	364_382	Q9HC62
1TH7A_1_1_16	1_16	1_16	1_16	1_14	Q97ZQ0
1THTA_10_1_22	1_22	4_22	1_22	1_22	P05521
1TM0A_5_87_141	87_141	87_141	87_141	87_141	Q8YFD6
1TN3A_3_42_64	42_64	86_108	42_64	107_129	P05452
1TOAA_10_118_147	118_147	113_142	118_147	113_142	P96116
1TOAA_12_1_19	1_19	-_-	1_19	1_14	P96116
1TQHA_1_117_155	117_155	117_155	117_155	116_154	Q06174
1TQHA_6_88_116	88_116	88_116	88_116	87_115	Q06174
1TQJA_1_1_29	1_29	3_29	1_29	1_29	P74061
1TQYA_10_258_296	258_296	258_296	258_296	301_339	Q02059
1TQYA_10_394_421	394_421	394_421	394_421	437_464	Q02059
1TQYB_10_381_402	381_402	373_394	381_402	373_394	Q02062
1TR8A_2_50_75	50_75	65_90	50_75	65_90	P0C0K9
1TS9A_2_29_53	29_53	29_53	29_53	29_53	O28362
1TT8A_3_73_98	73_98	73_98	73_98	74_99	P26602
1TTWA_1_74_118	74_118	74_118	74_118	74_118	Q7BTX0
1TU1A_2_21_46	21_46	19_44	21_46	19_44	Q9I738
1TU1A_4_69_99	69_99	67_97	69_99	67_97	Q9I738
1TU9A_2_54_85	54_85	52_83	54_85	52_83	Q9HX49
1TUAA_3_152_174	152_174	151_173	152_174	156_178	Q9YE16
1TULA_2_59_85	59_85	59_85	59_85	59_85	Q06691
1TUOA_10_170_212	170_212	170_212	170_212	163_205	Q5SKJ3
1TUOA_11_42_79	42_79	42_79	42_79	35_72	Q5SKJ3
1TUVA_1_1_27	1_27	1_27	1_27	1_27	P0ADU2
1TWFH_2_16_48	16_48	16_48	16_48	16_48	P20436
1TXLA_4_75_99	75_99	75_99	75_99	76_100	P76344
1TXOA_6_19_59	19_59	22_62	19_59	22_62	P9WHW5
1TXOA_6_91_112	91_112	94_115	91_112	94_115	P9WHW5
1TY9A_5_108_128	108_128	108_128	108_128	108_128	Q51793
1TY9A_5_129_160	129_160	129_160	129_160	129_160	Q51793
1TZYB_1_1_36	1_36	33_35	1_36	1_36	P0C1H5
1U09A_10_460_476	460_476	460_476	460_476	2317_2333	Q9QCE4
1U0KA_2_70_119	70_119	68_117	70_119	68_117	Q9HV82
1U0LA_3_65_119	65_119	59_113	65_119	59_113	Q9X242
1U58A_4_1_47	1_47	8_47	1_47	21_67	A2Q6L5
1U5HA_3_65_85	65_85	65_85	65_85	65_85	P9WPE1
1U5HA_4_179_207	179_207	179_207	179_207	179_207	P9WPE1
1U5HA_6_34_49	34_49	34_49	34_49	34_49	P9WPE1
1U5UA_10_94_140	94_140	94_140	94_140	94_140	O16025
1U5XA_1_51_93	51_93	152_194	51_93	152_194	Q9D777
1U69A_2_70_119	70_119	68_117	70_119	68_117	Q9I0C1
1U6EA_10_234_251	234_251	220_237	234_251	234_251	P9WNG3
1U7BA_3_204_251	204_251	204_251	204_251	204_251	P12004
1U7BA_4_19_73	19_73	19_73	19_73	19_73	P12004
1U9YA_10_45_89	45_89	45_89	45_89	45_89	Q58761
1UCDA_6_145_166	145_166	145_166	145_166	146_167	P23540
1UCRA_1_1_20	1_20	1_20	1_20	1_20	Q46582
1UDXA_10_271_312	271_312	271_312	271_312	271_312	Q5SHE9
1UF5A_10_84_124	84_124	84_124	84_124	85_125	P60327
1UG6A_10_316_339	316_339	316_339	316_339	316_339	Q8GEB3
1UJ2A_2_170_186	170_186	168_184	170_186	168_184	Q9BZX2
1UJCA_4_76_91	76_91	76_91	76_91	76_91	P76502
1UQTA_10_173_221	173_221	172_220	173_221	173_221	P31677
1UQTA_10_264_283	264_283	263_282	264_283	264_283	P31677
1UQTA_16_47_63	47_63	46_62	47_63	47_63	P31677
1UR4A_14_174_192	174_192	174_192	174_192	199_217	Q65CX5
1UW4A_1_1_53	1_53	50_102	1_53	50_102	Q9BZI7
1V47A_10_133_153	133_153	133_153	133_153	133_153	Q5SKH7
1V4AA_10_75_95	75_95	75_95	75_95	75_95	P30870
1V6PA_2_23_40	23_40	23_40	23_40	44_61	P60770
1V76A_2_31_54	31_54	62_85	31_54	62_85	O59425
1VB5A_11_198_217	198_217	198_217	198_217	198_217	O58185
1VC1A_2_44_81	44_81	44_81	44_81	44_81	Q9X1F5
1VCLA_10_332_357	332_357	332_357	332_357	342_367	Q868M7
1VCLA_10_89_116	89_116	89_116	89_116	99_126	Q868M7
1VCLA_2_316_357	316_357	316_357	316_357	326_367	Q868M7
1VCTA_2_54_76	54_76	54_76	54_76	54_76	O57975
1VCTA_3_16_43	16_43	16_43	16_43	16_43	O57975
1VD6A_5_117_139	117_139	117_139	117_139	117_139	Q53W25
1VE2A_6_90_110	90_110	90_110	90_110	90_110	Q53WA2
1VECA_5_102_128	102_128	184_210	102_128	195_221	P26196
1VF7A_2_109_144	109_144	106_141	109_144	129_164	P52477
1VF8A_10_112_141	112_141	112_141	112_141	133_162	O35744
1VFRA_2_92_121	92_121	92_121	92_121	92_121	P46072
1VFYA_1_36_67	36_67	198_229	36_67	198_229	P40343
1VGJA_2_156_183	156_183	156_183	156_183	156_183	O57823
1VGJA_5_1_24	1_24	2_24	1_24	1_24	O57823
1VH5A_3_87_131	87_131	85_129	87_131	85_129	P77781
1VH6A_3_59_87	59_87	57_84	59_87	57_85	P39739
1VHKA_4_37_72	37_72	36_70	37_72	35_70	P54461
1VHNA_10_185_211	185_211	185_211	185_211	183_209	Q9WXV1
1VHNA_5_264_305	264_305	264_305	264_305	262_303	Q9WXV1
1VHOA_7_288_318	288_318	286_316	288_318	286_316	Q9X0D8
1VHUA_5_119_173	119_173	117_171	119_173	110_164	O28751
1VHUA_6_136_173	136_173	134_171	136_173	127_164	O28751
1VHYA_5_33_70	33_70	31_68	33_70	31_68	P44627
1VJ0A_11_254_293	254_293	242_281	254_293	242_281	Q9WYR7
1VJ0A_1_313_366	313_366	301_354	313_366	301_354	Q9WYR7
1VJNA_2_58_96	58_96	46_84	58_96	46_84	Q9WY50
1VK1A_2_192_215	192_215	192_215	192_215	192_215	Q8U3S5
1VK1A_5_150_168	150_168	150_168	150_168	150_168	Q8U3S5
1VKYA_10_95_126	95_126	83_114	95_126	83_114	Q9WZ44
1VLIA_10_96_117	96_117	85_105	96_117	84_105	P39625
1VLIA_12_138_154	138_154	126_142	138_154	126_142	P39625
1VLUA_5_269_312	269_312	258_300	269_312	257_300	P54885
1VPVA_10_26_41	26_41	14_29	26_41	14_29	Q9X1H9
1VPVA_10_42_63	42_63	30_51	42_63	30_51	Q9X1H9
1VQ2A_3_83_99	83_99	83_99	83_99	83_99	P16006
1VR7A_2_69_105	69_105	57_93	69_105	57_93	Q9WZC3
1VR8A_3_79_123	79_123	91_135	79_123	91_135	Q9X1V7
1VYBA_3_114_134	114_134	114_134	114_134	114_134	O00370
1VYFA_3_68_102	68_102	66_100	68_102	66_100	P29498
1VYFA_4_68_85	68_85	66_83	68_85	66_83	P29498
1VYIA_3_73_93	73_93	258_278	73_93	258_278	P22363
1VYKA_3_39_60	39_60	39_60	39_60	122_143	P12301
1VYRA_12_281_301	281_301	281_301	281_301	282_302	P71278
1VZYA_10_179_198	179_198	179_198	179_198	179_198	P37565
1W6GA_18_362_379	362_379	364_381	362_379	364_381	P46881
1W8OA_10_163_210	163_210	209_256	163_210	209_256	Q02834
1W8OA_12_373_425	373_425	419_471	373_425	419_471	Q02834
1W8OA_14_290_323	290_323	336_369	290_323	336_369	Q02834
1W96A_10_323_371	323_371	335_383	323_371	335_383	Q00955
1W9YA_4_103_146	103_146	103_146	103_146	103_146	Q08506
1WA5C_5_342_363	342_363	342_363	342_363	342_363	P33307
1WAKA_10_1_49	1_49	63_90	1_49	42_90	Q96SB4
1WAKA_10_305_326	305_326	563_584	305_326	563_584	Q96SB4
1WAKA_10_82_103	82_103	123_144	82_103	123_144	Q96SB4
1WCV1_1_205_243	205_243	205_243	205_243	205_243	Q72H90
1WDJA_3_111_165	111_165	111_165	111_165	111_165	Q5SI60
1WJXA_4_38_53	38_53	38_53	38_53	39_54	Q8RR57
1WNDA_20_405_421	405_421	384_400	405_421	384_400	P77674
1WOHA_10_201_216	201_216	201_216	201_216	201_216	Q9RZ04
1WOHA_10_255_270	255_270	255_270	255_270	255_270	Q9RZ04
1WUUA_10_1_28	1_28	0_21	1_28	1_21	P51570
1WUUA_11_320_355	320_355	313_348	320_355	313_348	P51570
1WV3A_6_152_167	152_167	152_167	152_167	152_167	Q8NYF3
1WV8A_1_1_31	1_31	2_31	1_31	1_31	Q5SJJ5
1WVFA_10_145_176	145_176	146_177	145_176	146_177	P09788
1WVFA_10_287_311	287_311	288_312	287_311	288_312	P09788
1WVFA_10_312_344	312_344	313_345	312_344	313_345	P09788
1WVFA_13_77_107	77_107	78_108	77_107	78_108	P09788
1WVGA_10_162_185	162_185	164_187	162_185	162_185	P26397
1WVGA_10_327_352	327_352	329_354	327_352	327_352	P26397
1WWIA_1_1_31	1_31	2_31	1_31	1_31	Q5SI95
1WWMA_5_34_62	34_62	34_62	34_62	32_60	Q5SLX4
1WWPA_3_53_81	53_81	53_81	53_81	53_81	Q5SKK7
1WX1A_10_241_268	241_268	241_268	241_268	241_268	Q7SIC7
1WY1A_2_16_40	16_40	22_40	16_40	16_40	O58404
1WY5A_10_62_92	62_92	62_92	62_92	62_92	O67728
1WZAA_10_438_488	438_488	465_515	438_488	465_515	Q8GPL8
1WZUA_10_113_152	113_152	113_152	113_152	113_152	O57767
1X19A_13_255_290	255_290	234_269	255_290	234_269	Q8KGE0
1X1TA_7_55_91	55_91	55_91	55_91	55_91	Q5KST5
1X2IA_1_1_38	1_38	2_35	1_38	690_727	Q8TZH8
1X54A_12_185_233	185_233	185_233	185_233	185_233	O57980
1X7DA_10_62_105	62_105	62_105	62_105	62_105	Q88H32
1X8BA_4_131_168	131_168	417_435	131_168	417_454	P30291
1X9IA_7_179_226	179_226	179_226	179_226	179_226	Q8ZWV0
1XB2B_1_1_43	1_43	56_98	1_43	56_98	P43896
1XDIA_10_293_340	293_340	293_340	293_340	293_340	P9WHH7
1XDNA_4_69_99	69_99	116_146	69_99	116_146	P86927
1XF1A_14_899_926	899_926	1004_1031	899_926	1004_1031	P15926
