All-alpha 16VPA_10_189_206	P06492_235_252
All-alpha 1NLXA_1_59_104	P43215_80_125
All-alpha 1NOGA_4_41_56	Q9HIA7_41_56
All-alpha 1NOGA_5_17_40	Q9HIA7_17_40
All-beta 1NTVA_3_87_129	P97318_109_151
All-alpha 1NVMA_10_293_320	P51016_293_320
All-alpha 1NXCA_10_371_394	P45700_548_571
All-alpha 1NXHA_2_1_44	O26496_1_44
All-alpha 1NXHA_3_1_25	O26496_1_25
All-beta 1NYCA_4_76_96	Q7A189_74_94
All-beta 1O4TA_3_84_115	Q9X113_72_103
All-alpha 1O57A_2_73_103	P37551_73_103
Alpha-beta 1O57A_6_129_159	P37551_129_159
All-beta 1O5LA_3_38_57	Q9X0Q3_26_45
Alpha-beta 1O5ZA_10_116_140	Q9WY13_104_128
All-alpha 1O5ZA_10_90_115	Q9WY13_78_103
Alpha-beta 1O5ZA_14_352_375	Q9WY13_340_363
Alpha-beta 1O63A_6_100_129	Q9X0D2_99_128
Alpha-beta 1O6DA_2_94_123	Q9WZU8_92_121
Alpha-beta 1O6VA_10_45_77	P0DJM0_75_107
Alpha-beta 1O6VA_11_341_374	P0DJM0_371_404
All-alpha 1O70A_10_1_27	P10674_310_336
All-alpha 1O7DC_6_1_23	Q29451_433_455
All-alpha 1O7JA_10_303_325	P06608_324_346
All-alpha 1O82A_1_1_23	Q47765_36_58
Alpha-beta 1O97D_10_34_70	P53571_35_71
Alpha-beta 1O98A_10_28_44	Q9X519_28_44
Alpha-beta 1O98A_10_94_114	Q9X519_94_114
All-beta 1OA8A_2_51_85	P54253_611_645
Alpha-beta 1OAAA_5_1_40	Q64105_3_42
Alpha-beta 1ODZA_11_237_292	P49424_274_329
All-alpha 1OFCX_6_88_128	Q24368_775_815
Alpha-beta 1OGDA_2_63_104	P36946_63_104
All-alpha 1OHUA_3_86_101	P41958_153_168
Alpha-beta 1OHVA_10_211_230	P80147_239_258
All-alpha 1OKGA_10_279_294	Q7K9G0_279_294
Alpha-beta 1OKSA_1_1_30	P03422_458_487
All-alpha 1OLMA_10_39_57	O76054_39_57
Alpha-beta 1ONWA_10_181_203	P39377_181_203
All-alpha 1OR0B_10_270_303	P07662_468_501
Alpha-beta 1ORRA_2_1_56	P14169_1_55
All-beta 1OUWA_1_22_79	P93114_23_80
All-beta 1P2HA_19_273_295	P0C278_273_295
Alpha-beta 1P3DA_10_442_463	P45066_442_463
Alpha-beta 1P5DX_10_269_296	P26276_269_296
Alpha-beta 1P6OA_2_86_139	Q12178_83_136
All-beta 1P9AG_12_80_95	P07359_96_111
All-beta 1PEXA_6_56_71	P45452_320_335
All-beta 1PEXA_8_104_120	P45452_368_384
All-beta 1PFOA_10_382_397	P0C2E9_382_397
Alpha-beta 1PJ5A_11_48_84	Q9AGP8_48_84
Alpha-beta 1PJ5A_7_166_219	Q9AGP8_166_219
Alpha-beta 1PL8A_12_317_341	Q00796_318_342
All-alpha 1PPJB_10_330_349	P23004_344_363
All-alpha 1PQ4A_10_233_255	P73085_279_301
Alpha-beta 1PQWA_1_149_183	P96202_1706_1740
All-alpha 1PU6A_6_62_101	O25323_62_101
Alpha-beta 1PUIA_5_110_149	P0A6P7_110_149
All-alpha 1PUIA_5_88_109	P0A6P7_88_109
All-alpha 1PVGA_10_356_378	P06786_351_373
Alpha-beta 1PWHA_10_160_195	P09367_196_231
Alpha-beta 1PWHA_10_246_279	P09367_282_315
All-alpha 1PX5A_10_74_102	Q29599_74_102
Alpha-beta 1PX5A_12_247_278	Q29599_247_278
Alpha-beta 1PYAA_2_40_65	P00862_41_66
Alpha-beta 1PYAB_6_92_123	P00862_174_205
All-beta 1PZ7A_4_98_124	P31696_1975_2001
All-beta 1PZSA_3_1_35	P9WGE9_33_67
All-beta 1Q0RA_10_1_17	Q54528_1_17
Alpha-beta 1Q0UA_1_1_24	P83699_1_24
All-beta 1Q15A_10_180_204	Q9XB61_180_204
All-alpha 1Q15A_10_344_373	Q9XB61_344_373
All-alpha 1Q15A_10_463_491	Q9XB61_463_491
All-alpha 1Q15A_12_79_100	Q9XB61_79_100
Alpha-beta 1Q15A_17_278_296	Q9XB61_278_296
Alpha-beta 1Q1AA_10_104_130	P53686_108_134
All-alpha 1Q1AA_10_261_285	P53686_265_289
Alpha-beta 1Q1RA_10_1_42	P16640_1_42
Alpha-beta 1Q1RA_10_300_323	P16640_300_323
All-beta 1Q25A_10_356_394	P08169_400_438
All-alpha 1Q47A_10_71_89	O08665_96_114
All-beta 1Q47A_17_454_469	O08665_479_494
Alpha-beta 1Q5DA_10_155_194	Q9KIZ4_155_194
Alpha-beta 1Q6ZA_10_366_401	P20906_366_401
Alpha-beta 1Q6ZA_10_480_524	P20906_480_524
Alpha-beta 1Q6ZA_7_17_68	P20906_17_68
Alpha-beta 1Q7EA_10_159_201	P69902_157_199
Alpha-beta 1Q7EA_10_315_332	P69902_313_330
All-beta 1QAUA_1_88_112	P29476_101_125
All-beta 1QEXA_10_219_234	P10927_219_234
All-beta 1QMEA_11_105_127	P14677_153_175
Alpha-beta 1QMEA_14_502_523	P14677_550_571
Alpha-beta 1QNRA_1_1_55	Q99036_28_82
Alpha-beta 1QO0D_3_1_43	P10932_1_43
Alpha-beta 1QSAA_10_198_246	P0AGC3_225_273
All-beta 1QSMA_5_49_64	Q06592_53_68
All-alpha 1QUSA_10_121_148	P41052_160_187
All-alpha 1QUSA_10_19_46	P41052_58_85
All-alpha 1QUSA_10_62_87	P41052_101_126
All-beta 1QYNA_3_31_80	P0AG86_31_80
All-beta 1QYSA_1_1_21	__-
Alpha-beta 1QZ9A_11_218_241	P83788_218_241
All-alpha 1R3SA_10_43_58	P06132_43_58
All-alpha 1R5LA_1_1_47	P49638_17_63
All-beta 1R5MA_10_316_351	P38262_428_463
All-beta 1R5MA_13_278_297	P38262_390_409
All-alpha 1R8EA_4_49_72	P39075_49_72
All-alpha 1R8GA_10_254_273	P77213_254_273
All-alpha 1RA6A_10_67_95	P03300_1815_1843
All-alpha 1RA6A_13_422_446	P03300_2170_2194
All-alpha 1RCQA_10_159_188	Q9HTQ2_159_188
Alpha-beta 1RG8A_1_88_141	P05230_97_150
Alpha-beta 1RLZA_11_241_283	P49366_241_283
All-alpha 1RR7A_3_60_94	P23848_60_94
All-alpha 1RRMA_7_184_219	P0A9S1_183_218
All-alpha 1RT8A_10_304_337	O59945_405_438
Alpha-beta 1RTQA_7_139_176	Q01693_245_282
All-alpha 1RTRA_10_119_140	A0A0H3_119_140
All-alpha 1RTRA_10_72_89	A0A0H3_72_89
Alpha-beta 1RTWA_2_131_163	Q8U189_131_163
All-alpha 1RTWA_2_164_205	Q8U189_164_205
All-alpha 1RTWA_4_50_77	Q8U189_50_77
Coil 1RU4A_15_184_212	P0C1A7_209_237
Alpha-beta 1RUTX_2_31_63	P70662_?_?
All-alpha 1RV9A_2_192_212	Q9K0A8_192_212
Alpha-beta 1RV9A_4_101_154	Q9K0A8_101_154
All-beta 1RWIA_10_131_156	P9WI79_533_558
All-beta 1RWZA_2_201_244	O29912_201_244
All-beta 1RWZA_3_85_110	O29912_85_110
All-alpha 1RX0A_10_362_384	Q9UKU7_384_406
All-alpha 1RX0A_10_70_94	Q9UKU7_92_116
All-alpha 1RX0A_10_95_123	Q9UKU7_117_145
All-alpha 1RXDA_4_17_32	Q93096_18_33
Alpha-beta 1RXQA_4_58_88	O31562_58_88
Alpha-beta 1RYBA_1_153_186	Q9M5P4_197_230
All-alpha 1RYBA_6_28_43	Q9M5P4_72_87
Alpha-beta 1RYIA_10_144_168	O31616_131_155
All-beta 1RYIA_10_169_198	O31616_156_185
All-alpha 1RYIA_10_49_74	O31616_36_61
Alpha-beta 1RYLA_1_131_157	P76483_131_157
Alpha-beta 1RYLA_6_1_19	P76483_1_19
All-beta 1RZ3A_4_100_122	P84134_100_122
Alpha-beta 1S0AA_10_391_428	P12995_391_428
Alpha-beta 1S29A_1_1_19	Q9NIH4_1_16
Alpha-beta 1S2WA_4_171_212	P56839_171_212
Alpha-beta 1S3ZA_2_1_59	Q9R381_1_39
Alpha-beta 1S4NA_6_49_86	P27809_143_180
Alpha-beta 1S6CA_2_1_28	Q8R426_45_72
All-alpha 1S6CA_4_29_73	Q8R426_73_117
All-alpha 1S6YA_10_171_190	P84135_171_190
Alpha-beta 1S9RA_10_94_119	P23793_94_119
All-alpha 1S9UA_4_157_189	Q8ZPK0_154_186
All-alpha 1S9UA_5_125_156	Q8ZPK0_122_153
Alpha-beta 1SA3A_10_202_227	P11405_202_227
All-beta 1SA3A_12_98_116	P11405_98_116
All-alpha 1SBPA_10_140_164	P02906_159_183
All-beta 1SC6A_13_343_365	P0A9T0_349_371
Alpha-beta 1SFEA_3_1_49	P06134_175_223
Alpha-beta 1SG4A_5_84_132	P42126_126_174
Alpha-beta 1SGJA_1_188_231	Q9RUZ0_188_231
All-beta 1SH8A_4_25_40	Q9HUE3_23_38
All-beta 1SQ4A_10_110_125	Q9I4J5_110_125
All-alpha 1SQGA_4_1_49	P36929_1_49
All-beta 1SR4A_3_102_121	O06522_119_138
All-alpha 1SRAA_1_22_53	P09486_174_205
Alpha-beta 1SRAA_2_54_74	P09486_206_226
Alpha-beta 1SRQA_4_257_300	P47736_331_374
Alpha-beta 1SUMB_2_189_225	Q9X256_189_225
Alpha-beta 1SUUA_5_97_142	O51396_595_640
Alpha-beta 1SZ7A_4_117_159	O43617_108_150
Alpha-beta 1T0FA_6_127_164	P13988_124_161
All-alpha 1T0IA_4_66_84	Q07923_66_84
Alpha-beta 1T0TV_6_176_230	Q5KUD5_176_230
Alpha-beta 1T3QC_10_223_247	P72222_223_247
All-alpha 1T56A_4_101_120	P9WMC1_101_120
All-beta 1T6CA_11_18_36	O67040_15_33
All-alpha 1T71A_5_159_176	P75429_159_176
All-alpha 1T82A_1_1_22	Q8E989_1_12
All-beta 1T82A_4_117_142	Q8E989_107_132
All-alpha 1T8SA_10_406_435	P0AE12_406_435
Alpha-beta 1TH0A_2_1_19	Q9HC62_364_382
All-alpha 1TH7A_1_1_16	Q97ZQ0_1_14
All-beta 1THTA_10_1_22	P05521_1_22
Alpha-beta 1TM0A_5_87_141	Q8YFD6_87_141
All-alpha 1TN3A_3_42_64	P05452_107_129
All-alpha 1TOAA_10_118_147	P96116_113_142
Alpha-beta 1TOAA_12_1_19	P96116_1_14
All-alpha 1TQHA_1_117_155	Q06174_116_154
Alpha-beta 1TQHA_6_88_116	Q06174_87_115
Alpha-beta 1TQJA_1_1_29	P74061_1_29
Alpha-beta 1TQYA_10_258_296	Q02059_301_339
Alpha-beta 1TQYA_10_394_421	Q02059_437_464
All-beta 1TQYB_10_381_402	Q02062_373_394
Alpha-beta 1TR8A_2_50_75	P0C0K9_65_90
All-beta 1TS9A_2_29_53	O28362_29_53
All-beta 1TT8A_3_73_98	P26602_74_99
Alpha-beta 1TTWA_1_74_118	Q7BTX0_74_118
All-beta 1TU1A_2_21_46	Q9I738_19_44
All-beta 1TU1A_4_69_99	Q9I738_67_97
All-alpha 1TU9A_2_54_85	Q9HX49_52_83
All-alpha 1TUAA_3_152_174	Q9YE16_156_178
All-beta 1TULA_2_59_85	Q06691_59_85
Alpha-beta 1TUOA_10_170_212	Q5SKJ3_163_205
Alpha-beta 1TUOA_11_42_79	Q5SKJ3_35_72
Alpha-beta 1TUVA_1_1_27	P0ADU2_1_27
All-beta 1TWFH_2_16_48	P20436_16_48
All-beta 1TXLA_4_75_99	P76344_76_100
Alpha-beta 1TXOA_6_19_59	P9WHW5_22_62
All-beta 1TXOA_6_91_112	P9WHW5_94_115
All-alpha 1TY9A_5_108_128	Q51793_108_128
Alpha-beta 1TY9A_5_129_160	Q51793_129_160
Alpha-beta 1TZYB_1_1_36	P0C1H5_1_36
All-alpha 1U09A_10_460_476	Q9QCE4_2317_2333
Alpha-beta 1U0KA_2_70_119	Q9HV82_68_117
Alpha-beta 1U0LA_3_65_119	Q9X242_59_113
All-beta 1U58A_4_1_47	A2Q6L5_21_67
All-alpha 1U5HA_3_65_85	P9WPE1_65_85
All-alpha 1U5HA_4_179_207	P9WPE1_179_207
All-alpha 1U5HA_6_34_49	P9WPE1_34_49
All-beta 1U5UA_10_94_140	O16025_94_140
All-beta 1U5XA_1_51_93	Q9D777_152_194
Alpha-beta 1U69A_2_70_119	Q9I0C1_68_117
All-alpha 1U6EA_10_234_251	P9WNG3_234_251
Alpha-beta 1U7BA_3_204_251	P12004_204_251
All-beta 1U7BA_4_19_73	P12004_19_73
Alpha-beta 1U9YA_10_45_89	Q58761_45_89
All-beta 1UCDA_6_145_166	P23540_146_167
All-alpha 1UCRA_1_1_20	Q46582_1_20
Alpha-beta 1UDXA_10_271_312	Q5SHE9_271_312
All-beta 1UF5A_10_84_124	P60327_85_125
Alpha-beta 1UG6A_10_316_339	Q8GEB3_316_339
All-alpha 1UJ2A_2_170_186	Q9BZX2_168_184
All-alpha 1UJCA_4_76_91	P76502_76_91
Alpha-beta 1UQTA_10_173_221	P31677_173_221
All-alpha 1UQTA_10_264_283	P31677_264_283
All-beta 1UQTA_16_47_63	P31677_47_63
Alpha-beta 1UR4A_14_174_192	Q65CX5_199_217
Alpha-beta 1UW4A_1_1_53	Q9BZI7_50_102
All-alpha 1V47A_10_133_153	Q5SKH7_133_153
All-alpha 1V4AA_10_75_95	P30870_75_95
All-beta 1V6PA_2_23_40	P60770_44_61
All-beta 1V76A_2_31_54	O59425_62_85
Alpha-beta 1VB5A_11_198_217	O58185_198_217
Alpha-beta 1VC1A_2_44_81	Q9X1F5_44_81
Alpha-beta 1VCLA_10_332_357	Q868M7_342_367
All-beta 1VCLA_10_89_116	Q868M7_99_126
Alpha-beta 1VCLA_2_316_357	Q868M7_326_367
All-alpha 1VCTA_2_54_76	O57975_54_76
All-alpha 1VCTA_3_16_43	O57975_16_43
Alpha-beta 1VD6A_5_117_139	Q53W25_117_139
Alpha-beta 1VE2A_6_90_110	Q53WA2_90_110
Alpha-beta 1VECA_5_102_128	P26196_195_221
All-beta 1VF7A_2_109_144	P52477_129_164
Alpha-beta 1VF8A_10_112_141	O35744_133_162
All-alpha 1VFRA_2_92_121	P46072_92_121
Alpha-beta 1VFYA_1_36_67	P40343_198_229
All-beta 1VGJA_2_156_183	O57823_156_183
Alpha-beta 1VGJA_5_1_24	O57823_1_24
All-beta 1VH5A_3_87_131	P77781_85_129
All-alpha 1VH6A_3_59_87	P39739_57_85
All-beta 1VHKA_4_37_72	P54461_35_70
Alpha-beta 1VHNA_10_185_211	Q9WXV1_183_209
All-alpha 1VHNA_5_264_305	Q9WXV1_262_303
Alpha-beta 1VHOA_7_288_318	Q9X0D8_286_316
Alpha-beta 1VHUA_5_119_173	O28751_110_164
Alpha-beta 1VHUA_6_136_173	O28751_127_164
All-beta 1VHYA_5_33_70	P44627_31_68
Alpha-beta 1VJ0A_11_254_293	Q9WYR7_242_281
Alpha-beta 1VJ0A_1_313_366	Q9WYR7_301_354
All-beta 1VJNA_2_58_96	Q9WY50_46_84
Alpha-beta 1VK1A_2_192_215	Q8U3S5_192_215
All-alpha 1VK1A_5_150_168	Q8U3S5_150_168
All-beta 1VKYA_10_95_126	Q9WZ44_83_114
All-alpha 1VLIA_10_96_117	P39625_84_105
Alpha-beta 1VLIA_12_138_154	P39625_126_142
Alpha-beta 1VLUA_5_269_312	P54885_257_300
All-beta 1VPVA_10_26_41	Q9X1H9_14_29
Alpha-beta 1VPVA_10_42_63	Q9X1H9_30_51
All-alpha 1VQ2A_3_83_99	P16006_83_99
Alpha-beta 1VR7A_2_69_105	Q9WZC3_57_93
Alpha-beta 1VR8A_3_79_123	Q9X1V7_91_135
All-alpha 1VYBA_3_114_134	O00370_114_134
All-beta 1VYFA_3_68_102	P29498_66_100
All-beta 1VYFA_4_68_85	P29498_66_83
All-alpha 1VYIA_3_73_93	P22363_258_278
All-alpha 1VYKA_3_39_60	P12301_122_143
Alpha-beta 1VYRA_12_281_301	P71278_282_302
All-alpha 1VZYA_10_179_198	P37565_179_198
All-beta 1W6GA_18_362_379	P46881_364_381
All-beta 1W8OA_10_163_210	Q02834_209_256
All-beta 1W8OA_12_373_425	Q02834_419_471
All-beta 1W8OA_14_290_323	Q02834_336_369
Alpha-beta 1W96A_10_323_371	Q00955_335_383
All-alpha 1W9YA_4_103_146	Q08506_103_146
All-alpha 1WA5C_5_342_363	P33307_342_363
All-beta 1WAKA_10_1_49	Q96SB4_42_90
All-alpha 1WAKA_10_305_326	Q96SB4_563_584
All-beta 1WAKA_10_82_103	Q96SB4_123_144
All-alpha 1WCV1_1_205_243	Q72H90_205_243
Alpha-beta 1WDJA_3_111_165	Q5SI60_111_165
All-beta 1WJXA_4_38_53	Q8RR57_39_54
Alpha-beta 1WNDA_20_405_421	P77674_384_400
All-alpha 1WOHA_10_201_216	Q9RZ04_201_216
Alpha-beta 1WOHA_10_255_270	Q9RZ04_255_270
Alpha-beta 1WUUA_10_1_28	P51570_1_21
Alpha-beta 1WUUA_11_320_355	P51570_313_348
All-beta 1WV3A_6_152_167	Q8NYF3_152_167
All-beta 1WV8A_1_1_31	Q5SJJ5_1_31
Alpha-beta 1WVFA_10_145_176	P09788_146_177
Alpha-beta 1WVFA_10_287_311	P09788_288_312
Alpha-beta 1WVFA_10_312_344	P09788_313_345
All-beta 1WVFA_13_77_107	P09788_78_108
All-alpha 1WVGA_10_162_185	P26397_162_185
All-alpha 1WVGA_10_327_352	P26397_327_352
Alpha-beta 1WWIA_1_1_31	Q5SI95_1_31
All-alpha 1WWMA_5_34_62	Q5SLX4_32_60
All-alpha 1WWPA_3_53_81	Q5SKK7_53_81
Alpha-beta 1WX1A_10_241_268	Q7SIC7_241_268
All-alpha 1WY1A_2_16_40	O58404_16_40
Alpha-beta 1WY5A_10_62_92	O67728_62_92
All-beta 1WZAA_10_438_488	Q8GPL8_465_515
Alpha-beta 1WZUA_10_113_152	O57767_113_152
Alpha-beta 1X19A_13_255_290	Q8KGE0_234_269
Alpha-beta 1X1TA_7_55_91	Q5KST5_55_91
All-alpha 1X2IA_1_1_38	Q8TZH8_690_727
Alpha-beta 1X54A_12_185_233	O57980_185_233
Alpha-beta 1X7DA_10_62_105	Q88H32_62_105
All-beta 1X8BA_4_131_168	P30291_417_454
Alpha-beta 1X9IA_7_179_226	Q8ZWV0_179_226
All-alpha 1XB2B_1_1_43	P43896_56_98
Alpha-beta 1XDIA_10_293_340	P9WHH7_293_340
All-alpha 1XDNA_4_69_99	P86927_116_146
Alpha-beta 1XF1A_14_899_926	P15926_1004_1031
Alpha-beta 1XFCA_6_336_366	P9WQA9_338_368
Alpha-beta 1XFJA_10_165_183	Q9AAV3_165_183
All-beta 1XKWA_10_252_267	P42512_307_322
All-alpha 1XKZA_10_55_73	P18357_385_403
All-alpha 1XL7A_16_239_263	Q9DC50_239_263
All-beta 1XODA_1_1_55	Q66JG9_6_60
All-alpha 1XQRA_10_149_171	Q9NZL4_212_234
All-alpha 1XRSA_17_373_392	E3PRJ5_376_395
All-beta 1XYIA_3_19_35	P13123_19_35
All-alpha 1Y1XA_4_52_88	Q4QG08_95_131
All-alpha 1Y60A_5_70_86	Q9FA38_71_87
All-alpha 1Y6HA_2_20_35	Q93LE9_21_36
Alpha-beta 1Y791_10_519_539	P24171_520_540
Alpha-beta 1Y8QA_12_26_42	Q9UBE0_26_42
All-beta 1Y8QB_10_472_494	Q9UBT2_472_494
Alpha-beta 1Y8QB_13_91_129	Q9UBT2_91_129
All-beta 1Y8QB_14_130_145	Q9UBT2_130_145
All-beta 1Y96A_3_17_33	Q8WXD5_17_33
All-alpha 1Y9BA_1_40_81	Q9K2J6_40_81
All-alpha 1Y9BA_2_59_81	Q9K2J6_59_81
All-beta 1Y9WA_4_55_70	Q81CG1_55_70
All-alpha 1YBTA_1_16_34	O07732_294_312
All-beta 1YFQA_10_270_301	P26449_270_301
Alpha-beta 1YGYA_13_164_194	P9WNX3_163_193
Alpha-beta 1YHTA_8_256_287	Q840G9_256_287
Alpha-beta 1YI8A_10_131_149	Q9RVD6_131_149
All-alpha 1YI8A_10_285_310	Q9RVD6_285_310
Alpha-beta 1YI8A_10_59_85	Q9RVD6_59_85
Alpha-beta 1YISA_10_258_288	Q21774_258_288
All-alpha 1YISA_10_42_65	Q21774_42_65
Alpha-beta 1YIXA_10_154_175	P0AFQ7_154_175
All-alpha 1YIXA_10_95_116	P0AFQ7_95_116
All-alpha 1YJ7A_3_48_63	Q8VQD3_67_82
All-beta 1YJDC_3_30_56	P10747_46_72
All-beta 1YKDA_10_238_263	P94182_295_320
All-beta 1YKDA_10_43_78	P94182_100_135
Alpha-beta 1YKDA_3_190_222	P94182_247_279
Alpha-beta 1YKIA_4_158_192	P38489_158_192
Alpha-beta 1YKWA_10_245_275	Q8KBL4_245_275
All-alpha 1YKWA_10_276_302	Q8KBL4_276_302
All-alpha 1YM3A_2_93_122	P9WPJ9_85_114
All-alpha 1YM3A_3_144_166	P9WPJ9_136_158
Alpha-beta 1YM5A_10_124_147	P38765_124_147
All-beta 1YM5A_10_244_280	P38765_244_280
All-beta 1YM5A_10_99_123	P38765_99_123
Alpha-beta 1YM5A_6_124_165	P38765_124_165
All-alpha 1YMTA_6_50_66	P33242_266_282
All-beta 1YN4A_1_58_99	A0A0H3_100_141
All-alpha 1YNFA_14_202_224	P76216_191_213
Alpha-beta 1YNFA_16_311_339	P76216_300_328
Alpha-beta 1YNPA_10_114_134	Q9KE47_94_114
All-alpha 1YNPA_10_216_239	Q9KE47_196_219
All-alpha 1YNPA_10_240_261	Q9KE47_220_241
All-alpha 1YOCA_1_1_29	Q9I2R0_1_27
All-alpha 1YOEA_10_194_221	P41409_183_210
Alpha-beta 1YOEA_10_278_302	P41409_267_291
All-alpha 1YOVA_10_103_118	Q13564_100_115
Alpha-beta 1YQDA_10_234_282	Q94G59_230_278
All-alpha 1YRBA_3_200_230	Q9UYR9_186_216
All-alpha 1YREA_3_16_48	Q9HYX1_14_46
All-alpha 1YRRA_10_310_334	P0AF18_310_334
Alpha-beta 1YT8A_16_368_409	Q9I0N4_366_407
All-alpha 1YVRA_11_66_114	P42700_66_114
All-alpha 1YW4A_10_1_16	Q7NU26_1_16
All-beta 1YZ1A_3_1_19	P13693_1_17
All-beta 1Z24A_5_103_118	P00305_103_118
Alpha-beta 1Z2IA_10_328_350	Q7CRW4_318_340
Alpha-beta 1Z2LA_13_287_328	P77425_285_326
Alpha-beta 1Z47A_10_290_330	Q9RHZ7_278_318
All-beta 1Z4VA_12_400_422	P04850_433_455
All-beta 1Z54A_4_68_99	Q5SJV0_68_99
All-beta 1Z6RA_10_58_94	P50456_58_94
Alpha-beta 1Z94A_1_22_70	Q7NY36_22_70
All-beta 1Z94A_2_71_117	Q7NY36_71_117
Alpha-beta 1ZBTA_7_101_144	Q8DU64_89_132
All-alpha 1ZCJA_14_192_211	P07896_451_470
Alpha-beta 1ZIWA_10_35_82	O15455_61_108
All-beta 1ZLDA_3_16_48	P78737_76_108
All-beta 1ZLMA_1_1_31	Q92882_12_42
Alpha-beta 1ZLPA_10_65_80	Q05957_65_80
All-alpha 1ZMAA_1_68_86	Q8DP51_65_83
All-beta 1ZMAA_2_87_103	Q8DP51_84_100
Alpha-beta 1ZMAA_3_18_36	Q8DP51_15_33
Alpha-beta 1ZMBA_10_216_232	Q97LM8_216_232
Alpha-beta 1ZMDA_13_367_419	P09622_402_454
All-beta 1ZU0A_14_52_70	Q9KUA3_79_97
All-alpha 1ZX4A_2_1_45	Q38420_142_186
Alpha-beta 2A4VA_6_67_82	P40553_123_138
All-alpha 2A8EA_2_175_193	Q45498_175_193
Alpha-beta 2ABSA_10_209_228	Q9TVW2_189_208
Alpha-beta 2AEBA_10_166_195	P05089_166_195
All-alpha 2AEFA_2_116_142	O27564_222_248
Alpha-beta 2AEFA_3_68_115	O27564_174_221
Alpha-beta 2AFBA_10_37_59	Q9WXS2_25_47
All-alpha 2AFBA_11_138_168	Q9WXS2_126_156
All-alpha 2AFRA_2_96_126	Q8EXP7_93_123
All-alpha 2AG5A_5_94_116	Q9BUT1_94_116
All-beta 2AHDA_3_113_136	Q58346_113_136
All-beta 2AJRA_10_93_115	Q9WZT5_81_103
All-beta 2AJRA_11_233_251	Q9WZT5_221_239
All-alpha 2AM1A_10_280_300	Q8DNV6_280_300
Alpha-beta 2ANUA_1_1_43	Q9WZ29_1_31
Alpha-beta 2ANXA_2_64_101	P09963_64_101
Alpha-beta 2APJA_4_106_143	Q8L9J9_106_143
All-alpha 2AQ4A_10_228_268	P12689_532_572
Alpha-beta 2AQ4A_10_311_360	P12689_615_664
All-beta 2AQ5A_10_170_209	O89053_170_209
Alpha-beta 2AQ6A_2_49_87	O06553_49_87
Alpha-beta 2AQJA_11_319_356	P95480_319_356
All-alpha 2ARHA_2_157_198	O67778_155_196
All-alpha 2AS0A_10_333_355	O59578_333_355
Alpha-beta 2AS0A_13_1_31	O59578_1_31
Alpha-beta 2ASBA_4_170_219	P9WIV3_274_323
All-alpha 2ASTB_1_1_42	Q13309_89_130
Alpha-beta 2ATPB_1_68_115	P10300_89_136
All-alpha 2AU5A_2_112_129	Q82ZV0_109_126
All-alpha 2AVDA_3_20_50	Q86VU5_53_83
Alpha-beta 2AWIA_5_258_298	Q04114_258_298
All-beta 2AYHA_3_139_177	P23904_162_200
Alpha-beta 2AZJA_10_238_264	Q97W92_230_256
Alpha-beta 2AZNA_3_99_130	Q58085_104_135
Alpha-beta 2AZPA_2_88_134	Q9I476_86_132
All-beta 2B0AA_1_20_36	Q58193_21_37
Alpha-beta 2B0CA_3_63_82	P0A8Y3_56_75
All-beta 2B0RA_6_39_76	Q5CS32_20_57
All-beta 2B0TA_10_187_216	P50216_187_216
All-alpha 2B1EA_10_477_494	P19658_536_553
Alpha-beta 2B3FA_4_121_172	Q72KX2_141_192
All-alpha 2B67A_5_135_151	A0A0H2_132_148
Alpha-beta 2BA0A_4_135_180	O29758_135_180
All-alpha 2BCEA_10_508_525	P30122_526_543
Alpha-beta 2BCOA_3_105_138	Q87Q40_105_138
Alpha-beta 2BCQA_10_130_181	Q9UGP5_370_421
All-alpha 2BCQA_10_246_264	Q9UGP5_486_504
Alpha-beta 2BFDA_10_234_282	P12694_279_327
All-beta 2BHGA_5_152_183	P03306_1800_1831
All-beta 2BIWA_10_332_355	P74334_332_355
Alpha-beta 2BJKA_10_291_348	Q5SI02_291_348
All-alpha 2BMOA_13_274_289	Q8RTL4_274_289
Alpha-beta 2BS2A_10_1_47	P17412_1_47
All-alpha 2BU3A_6_34_49	Q8YY76_23_38
Alpha-beta 2C0GA_2_187_210	O44342_196_219
Alpha-beta 2C4NA_10_23_41	P0AF24_23_41
Alpha-beta 2C61A_10_180_231	Q60187_171_222
Alpha-beta 2C81A_11_59_101	Q8G8Y2_59_101
Alpha-beta 2C8MA_4_84_120	Q9HKT1_84_120
All-alpha 2C9KA_10_184_211	P16480_251_278
Alpha-beta 2CA6A_14_244_269	P41391_244_269
Alpha-beta 2CARA_3_43_75	Q9BY32_41_73
Alpha-beta 2CB1A_10_176_218	Q5SJ58_176_218
All-alpha 2CB5A_12_113_143	Q13867_114_144
All-beta 2CBZA_3_1_30	P33527_641_670
All-alpha 2CBZA_4_91_111	P33527_731_751
Alpha-beta 2CC0A_4_97_123	Q54413_138_164
Alpha-beta 2CC0A_5_33_62	Q54413_74_103
All-alpha 2CC0A_7_124_146	Q54413_165_187
All-beta 2CC3A_2_71_110	P17798_158_197
All-alpha 2CC3A_3_25_50	P17798_112_137
All-alpha 2CCHB_7_23_55	P20248_195_227
Alpha-beta 2CCJA_3_169_196	P65248_169_196
All-alpha 2CDNA_2_121_151	P9WKF5_101_131
Alpha-beta 2CDNA_2_79_120	P9WKF5_59_100
